старое название кактегории,новое название категории
 ?                             ,?
 agress                        ,agress
 agress i dr                   ,agress
 andere situationen            ,prochije
 bekannte                      ,kollegi znakom druz
 blizkije rodstvenniki starsjij,rodsvennik
" bmark bcomma,acomma           ",X
 chelovek                      ,chelovek
 deti k roditeliam             ,deti roditeli
 deti mal k roditeliam         ,deti roditeli
 die reiche an armen vertikale ,sverhu vniz
 dorogie dushe                 ,X
 drug                          ,drug
 drug moj                      ,drug moj
 druzja                        ,druzja
 dusha                         ,X
 elter an einem kind           ,roditeli deti
 eltern an kindern             ,roditeli deti
 frau und mann                 ,zhena muzh
 fremde                        ,zhena muzh
 freunde                       ,chuzjoj
 gegenstände                   ,zveri
 geliebte                      ,vliublenn
 geliebte frau an einem mann   ,vliublenn
 geschwister                   ,brat sestra
 grazhdane                     ,grazhdane
 iz k vysok                    ,snizu vverh
 k anliz                       ,X
 kinder an eltern              ,deti roditeli
 kollege freunde bekannte      ,X
 kollege freunde bekannte n    ,kollegi znakom druz
 kommunisticheskaja partija    ,X
 krasnaja armija               ,X
 mama ne uznaet                ,X
 mama vosklicanije             ,mama vosklicanije
 mann frau                     ,zhena muzh
 mann und frau                 ,zhena muzh
 mat                           ,mama vosklicanije
 moemu serdcu moej dushe nkrja ,X
 moj njanja                    ,moj niania
 muzh k zhene                  ,zhena muzh
 njanja                        ,niania
 njanja k rebenku              ,niania
 nomen                         ,nomen
 oben nach unten               ,sverhu vniz
 osnovnoj 1                    ,X
 otcy                          ,otcy
 otcy moi                      ,otcy moi
 otec                          ,otec
 otec ty                       ,otec ty
 otec vosklic                  ,otec vosklicanije
 rodnenkij moj                 ,rodnenkij moj
 serdcu                        ,X
 sonstiges                     ,prochije
 stalin                        ,X
 substantiv                    ,substantiv
 sverhu vniz                   ,sverhu vniz
 tier1                         ,zveri
 tiere                         ,zveri
 tiere heilige i dr            ,zveri
 tovarish                      ,tovarish
 tovarishi                     ,tovarishi
 ty                            ,ty
 unbekannt                     ,X
 unbekannt spar                ,chuzjoj
 unten an oben                 ,snizu vverh
 unten nach oben               ,snizu vverh
 varianty                      ,X
 verliebte                     ,vliublenn
 vertikal nizkoe k vysokomu    ,snizu vverh
 verwandte                     ,rodsvennik
 vosklicanije                  ,vosklicajije
 vosklicznije                  ,vosklicajije
 vy moj chelovek               ,vy moj chelovek
 vysok k niz                   ,sverhu vniz
 zhena k muzhu                 ,zhena muzh
